id,availability,condition,description,image_link,link,title,price,brand
JKBKXTAC7HA006906,in stock,New,New 2017 Kawasaki None,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/8A/48/8A48739A-BE21-4BB0-8FB6-BA153EA0FC02.jpg,http://www.woodsfuncenter.com/New-Inventory-2017-Kawasaki-Off-Road-KX-250F-Austin-Texas-2977081,2017 Kawasaki KX™ 250F Stock: 006906 | Woods Fun Center,7749 USD,Kawasaki
JKBKXEAC4HA088489,in stock,New,New 2017 Kawasaki KX65,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/A4/10/A410F0FB-F96D-44BF-931F-7FE00DA2208E.jpg,http://www.woodsfuncenter.com/New-Inventory-2017-Kawasaki-Off-Road-KX-65-Austin-Texas-2508821,2017 Kawasaki KX™ 65 Stock: 088489 | Woods Fun Center,3699 USD,Kawasaki
JKBKXFCC4HA010104,in stock,New,New 2017 Kawasaki KX85,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/9C/A3/9CA3DF7D-FE9C-48B3-82F9-4D7B4CFB419B.jpg,http://www.woodsfuncenter.com/New-Inventory-2017-Kawasaki-Off-Road-KX-85-Austin-Texas-2666506,2017 Kawasaki KX™ 85 Stock: 010104 | Woods Fun Center,4349 USD,Kawasaki
JKAKLEE19HDA89955,in stock,New,New 2017 Kawasaki KLR650,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/4F/26/4F26C738-011D-43EA-94AA-38D0F0BFBF53.jpg,http://www.woodsfuncenter.com/New-Inventory-2017-Kawasaki-On-Off-Road-KLR-650-Austin-Texas-2805576,2017 Kawasaki KLR™ 650 Stock: A89955 | Woods Fun Center,6699 USD,Kawasaki
JKAKLEE1XHDA91763,in stock,New,New 2017 Kawasaki KLR650,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/CA/91/CA91C905-2090-420A-8240-D4695073F165.jpg,http://www.woodsfuncenter.com/New-Inventory-2017-Kawasaki-On-Off-Road-KLR-650-Austin-Texas-3102465,2017 Kawasaki KLR™ 650 Stock: A91763 | Woods Fun Center,6699 USD,Kawasaki
JKAKLEE12HDA90297,in stock,New,New 2017 Kawasaki KLR650,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/59/CF/59CF7BB1-80A5-4343-8C38-EB22971E8F30.jpg,http://www.woodsfuncenter.com/New-Inventory-2017-Kawasaki-On-Off-Road-KLR-650-Camo-Austin-Texas-3089669,2017 Kawasaki KLR™ 650 Camo Stock: A90297 | Woods Fun Center,6999 USD,Kawasaki
JKBZXJE13HA025173,in stock,New,New 2017 Kawasaki Ninja ZXâ˘-6R,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/D9/37/D937F44E-F69B-406D-9A35-F97DF8C0AD43.jpg,http://www.woodsfuncenter.com/New-Inventory-2017-Kawasaki-On-Off-Road-Ninja-ZX-6R-Austin-Texas-2743123,2017 Kawasaki Ninja® ZX™-6R Stock: 025173 | Woods Fun Center,11699 USD,Kawasaki
JKBZXJE14HA025635,in stock,New,New 2017 Kawasaki Ninja ZXâ˘-6R,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/D9/53/D953C489-E0D4-4562-9088-20594923E1C8.jpg,http://www.woodsfuncenter.com/New-Inventory-2017-Kawasaki-On-Off-Road-Ninja-ZX-6R-Austin-Texas-3089966,2017 Kawasaki Ninja® ZX™-6R Stock: 025635 | Woods Fun Center,11699 USD,Kawasaki
JKBZXJE10HA025633,in stock,New,New 2017 Kawasaki Ninja ZXâ˘-6R,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/62/88/628863D2-A977-475F-A892-EF1F6C609631.jpg,http://www.woodsfuncenter.com/New-Inventory-2017-Kawasaki-On-Off-Road-Ninja-ZX-6R-Austin-Texas-3101949,2017 Kawasaki Ninja® ZX™-6R Stock: 025633 | Woods Fun Center,11699 USD,Kawasaki
RGSWA04A3HB101887,in stock,New,New 2017 Kawasaki KFX50,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/69/75/697544BC-489E-48CA-8083-264F2BBC8389.jpg,http://www.woodsfuncenter.com/New-Inventory-2017-Kawasaki-Sport-KFX-50-Austin-Texas-2987417,2017 Kawasaki KFX® 50 Stock: 101887 | Woods Fun Center,1999 USD,Kawasaki
